idx	accession	name	source_database	pfam	total	cumsum	result_num	selected_pfam	name_pfam
101	CL0124	Peptidase_PA	pfam	26	26	4067	25	PF17222	Viral cysteine endopeptidase C107
276	CL0323	Patatin	pfam	6	6	7582	5	PF22690	Fatty acid synthase central AT domain
63	CL0079	Cystine-knot	pfam	14	14	2836	6	PF03045	DAN domain
15	CL0023	P-loop_NTPase	pfam	265	265	1276	21	PF00488	MutS domain V
191	CL0229	RING	pfam	81	81	6500	64	PF18716	Vms1-associating treble clef domain
38	CL0051	NTF2	pfam	58	58	2013	6	PF05223	NTF2-like N-terminal transpeptidase domain
454	CL0537	CCCH_zf	pfam	16	16	8749	11	PF21457	"RNA-binding, Nab2-type zinc finger"
131	CL0159	E-set	pfam	431	431	4948	251	PF17756	RET Cadherin like domain 1
45	CL0059	6_Hairpin	pfam	48	48	2250	15	PF05426	Alginate lyase
144	CL0174	TetR_C	pfam	57	57	5296	13	PF16295	"Tetracyclin repressor-like, C-terminal domain"
49	CL0063	NADP_Rossmann	pfam	278	278	2583	212	PF13450	NAD(P)-binding Rossmann-like domain
49	CL0063	NADP_Rossmann	pfam	278	278	2583	24	PF01008	Initiation factor 2 subunit family
262	CL0307	FUSC	pfam	9	9	7447	2	PF06081	Aromatic acid exporter family member 1
15	CL0023	P-loop_NTPase	pfam	265	265	1276	1	PF00005	ABC transporter
96	CL0116	Calycin	pfam	51	51	3512	27	PF12702	Lipocalin-like
25	CL0036	TIM_barrel	pfam	193	193	1742	84	PF02784	"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"
226	CL0268	Pec_lyase-like	pfam	49	49	7130	48	PF22842	"Pel9A-like, right handed beta helix region"
166	CL0199	DPBB	pfam	12	12	5959	6	PF06725	3D domain
179	CL0214	UBA	pfam	31	31	6200	15	PF16577	UBA domain
13	CL0021	OB	pfam	151	151	991	149	PF22880	Family of unknown function (DUF7019)
570	CL0677	GHMP_C	pfam	4	4	9312	2	PF18376	Mevalonate 5-diphosphate decarboxylase C-terminal domain
48	CL0062	APC	pfam	21	21	2305	6	PF01235	Sodium:alanine symporter family
25	CL0036	TIM_barrel	pfam	193	193	1742	150	PF13320	"Glycoside hydrolase 123, catalytic domain"
175	CL0209	Bet_v_1_like	pfam	29	29	6157	0	PF00407	Pathogenesis-related protein Bet v 1 family
42	CL0055	Nucleoplasmin	pfam	59	59	2134	1	PF00500	L1 (late) protein
154	CL0186	Beta_propeller	pfam	175	175	5663	89	PF13415	"Galactose oxidase, central domain"
154	CL0186	Beta_propeller	pfam	175	175	5663	76	PF12217	Catalytic beta propeller domain of bacteriophage endosialidase
224	CL0266	PH	pfam	107	107	7064	56	PF15413	Pleckstrin homology domain
366	CL0423	AhpD-like	pfam	2	2	8259	1	PF04636	PA26 p53-induced protein (sestrin)
52	CL0066	Trefoil	pfam	27	27	2646	22	PF18022	Ricin-type beta-trefoil lectin C-terminal domain
14	CL0022	LRR	pfam	20	20	1011	14	PF18791	Transport inhibitor response 1 protein domain
183	CL0221	RRM	pfam	40	40	6377	38	PF22877	"Thc1, RRM domain"
23	CL0032	Dim_A_B_barrel	pfam	36	36	1542	22	PF13816	Haem-containing dehydratase
438	CL0520	Keratin_assoc	pfam	3	3	8657	0	PF01500	"Keratin, high sulfur B2 protein"
22	CL0031	Phosphatase	pfam	24	24	1506	8	PF04273	"Beta-lactamase hydrolase-like protein, phosphatase-like domain"
142	CL0172	Thioredoxin	pfam	71	71	5233	43	PF13409	"Glutathione S-transferase, N-terminal domain"
137	CL0167	Zn_Beta_Ribbon	pfam	107	107	5129	95	PF21319	"Zinc finger, FCS-type"
49	CL0063	NADP_Rossmann	pfam	278	278	2583	110	PF03949	"Malic enzyme, NAD binding domain"
13	CL0021	OB	pfam	151	151	991	115	PF18914	Domain of unknown function (DUF5666)
179	CL0214	UBA	pfam	31	31	6200	12	PF10440	Ubiquitin-binding WIYLD domain
318	CL0369	GHD	pfam	61	61	8033	46	PF21331	"Isoamylase, C-terminal"
131	CL0159	E-set	pfam	431	431	4948	100	PF08441	Integrin alpha Ig-like domain 1
76	CL0094	Peptidase_ME	pfam	12	12	2995	6	PF16187	Middle or third domain of peptidase_M16
56	CL0070	ACT	pfam	26	26	2687	0	PF00585	C-terminal regulatory domain of Threonine dehydratase
15	CL0023	P-loop_NTPase	pfam	265	265	1276	162	PF10609	NUBPL iron-transfer P-loop NTPase
100	CL0123	HTH	pfam	507	507	4041	468	PF22094	"CED4, winged-helix domain"
28	CL0040	tRNA_synt_II	pfam	12	12	1813	5	PF03099	Biotin/lipoate A/B protein ligase family
318	CL0369	GHD	pfam	61	61	8033	18	PF11941	Domain of unknown function (DUF3459)
86	CL0105	Hybrid	pfam	93	93	3204	20	PF01782	RimM N-terminal domain
42	CL0055	Nucleoplasmin	pfam	59	59	2134	14	PF01829	Peptidase A6 family
638	CL0750	ADAM_CR_sf	pfam	5	5	9570	3	PF19236	ADAMTS cysteine-rich domain
71	CL0089	GlnB-like	pfam	12	12	2958	3	PF06153	Cyclic-di-AMP receptor
283	CL0331	EpsM	pfam	8	8	7662	0	PF03245	Bacteriophage Rz lysis protein
392	CL0459	BRCT-like	pfam	12	12	8386	3	PF16589	"BRCT domain, a BRCA1 C-terminus domain"
310	CL0361	C2H2-zf	pfam	72	72	7915	13	PF09337	H2C2 zinc finger
